date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:30	1714/1714	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/Meyer.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Meyer.gif	(from http://praktica.planetaclix.pt/lenses.html)
16:15:30	6917/6917	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/ior.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/ior.gif	(from http://praktica.planetaclix.pt/lenses.html)
16:15:30	2250/2250	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:45:18%20GMT	http://praktica.planetaclix.pt/images/CarlZeissJena.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/CarlZeissJena.gif	(from http://praktica.planetaclix.pt/lenses.html)
16:15:30	568/568	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:48:34%20GMT	http://praktica.planetaclix.pt/images/Sigma.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Sigma.gif	(from http://praktica.planetaclix.pt/lenses.html)
16:15:31	2160/2160	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/Sam.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Sam.jpg	(from http://praktica.planetaclix.pt/lenses.html)
16:15:31	1916/1916	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/Olympus.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Olympus.gif	(from http://praktica.planetaclix.pt/accessories.html)
16:15:31	1441/1441	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/Metz.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Metz.gif	(from http://praktica.planetaclix.pt/accessories.html)
16:15:31	10808/10808	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:45:18%20GMT	http://praktica.planetaclix.pt/images/ContaxS.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/ContaxS.jpg	(from http://praktica.planetaclix.pt/M42.html)
16:15:33	8738/8738	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/lenine.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/lenine.jpg	(from http://praktica.planetaclix.pt/trivia.html)
16:15:33	5285/5285	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:48:34%20GMT	http://praktica.planetaclix.pt/images/unbearable.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/unbearable.jpg	(from http://praktica.planetaclix.pt/trivia.html)
16:15:36	11153/11153	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/pentaconb.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/pentaconb.jpg	(from http://praktica.planetaclix.pt/trivia.html)
16:15:37	63896/63896	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/Praktica1.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Praktica1.gif	(from http://praktica.planetaclix.pt/M42.html)
16:15:40	61678/61678	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/hummel.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/hummel.jpg	(from http://praktica.planetaclix.pt/trivia.html)
16:15:42	120964/120964	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/pag2.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/pag2.jpg	(from http://praktica.planetaclix.pt/trivia.html)
